14.0,0,11400,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1104,'bicycle'::304,'pedestrian'::88,'car'::4])|evacuation_point1;map(['motorbike'::1892,'car'::55,'bicycle'::510,'pedestrian'::154])|evacuation_point2;map(['motorbike'::2877,'bicycle'::747,'car'::34,'pedestrian'::232])|evacuation_point3;map(['motorbike'::1417,'car'::29,'bicycle'::399,'pedestrian'::120])|evacuation_point4;map(['motorbike'::36,'bicycle'::9,'pedestrian'::1])|evacuation_point5;map(['motorbike'::96,'bicycle'::28,'pedestrian'::13,'car'::1])|
15.0,0,9720,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1280,'bicycle'::340,'pedestrian'::97,'car'::4])|evacuation_point1;map(['motorbike'::1680,'bicycle'::473,'pedestrian'::147,'car'::55])|evacuation_point2;map(['motorbike'::2844,'bicycle'::724,'pedestrian'::230,'car'::34])|evacuation_point3;map(['motorbike'::1491,'bicycle'::423,'pedestrian'::121,'car'::29])|evacuation_point4;map(['motorbike'::32,'bicycle'::9])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
16.0,0,10560,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1130,'bicycle'::297,'pedestrian'::95,'car'::4])|evacuation_point1;map(['motorbike'::1788,'bicycle'::494,'pedestrian'::134,'car'::55])|evacuation_point2;map(['motorbike'::2875,'car'::34,'bicycle'::747,'pedestrian'::238])|evacuation_point3;map(['motorbike'::1500,'bicycle'::421,'car'::29,'pedestrian'::128])|evacuation_point4;map(['motorbike'::34,'bicycle'::10])|evacuation_point5;map(['bicycle'::28,'motorbike'::95,'car'::1,'pedestrian'::13])|
18.0,0,10680,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1132,'bicycle'::305,'pedestrian'::89,'car'::4])|evacuation_point1;map(['motorbike'::1846,'bicycle'::497,'pedestrian'::154,'car'::55])|evacuation_point2;map(['motorbike'::2669,'bicycle'::695,'pedestrian'::217,'car'::34])|evacuation_point3;map(['motorbike'::1619,'bicycle'::459,'car'::29,'pedestrian'::134])|evacuation_point4;map(['motorbike'::32,'bicycle'::8])|evacuation_point5;map(['bicycle'::33,'motorbike'::124,'pedestrian'::14,'car'::1])|
19.0,0,11280,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1320,'bicycle'::351,'pedestrian'::112,'car'::4])|evacuation_point1;map(['motorbike'::1840,'bicycle'::529,'pedestrian'::159,'car'::55])|evacuation_point2;map(['motorbike'::2619,'bicycle'::653,'pedestrian'::197,'car'::34])|evacuation_point3;map(['motorbike'::1516,'bicycle'::428,'car'::29,'pedestrian'::127])|evacuation_point4;map(['motorbike'::32,'bicycle'::8])|evacuation_point5;map(['motorbike'::95,'pedestrian'::13,'bicycle'::28,'car'::1])|
20.0,0,10440,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1462,'bicycle'::408,'pedestrian'::113,'car'::4])|evacuation_point1;map(['motorbike'::1636,'car'::55,'bicycle'::433,'pedestrian'::145])|evacuation_point2;map(['motorbike'::2783,'bicycle'::719,'car'::34,'pedestrian'::217])|evacuation_point3;map(['motorbike'::1413,'pedestrian'::119,'car'::29,'bicycle'::400])|evacuation_point4;map(['motorbike'::33,'bicycle'::9,'pedestrian'::1])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
21.0,0,10320,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1319,'bicycle'::360,'pedestrian'::107,'car'::4])|evacuation_point1;map(['motorbike'::1699,'bicycle'::461,'pedestrian'::138,'car'::55])|evacuation_point2;map(['motorbike'::2868,'bicycle'::742,'pedestrian'::232,'car'::34])|evacuation_point3;map(['motorbike'::1409,'pedestrian'::118,'bicycle'::398,'car'::29])|evacuation_point4;map(['bicycle'::8,'motorbike'::32])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
22.0,0,10680,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1318,'car'::4,'bicycle'::341,'pedestrian'::108])|evacuation_point1;map(['motorbike'::1671,'car'::55,'bicycle'::482,'pedestrian'::140])|evacuation_point2;map(['motorbike'::2892,'car'::34,'bicycle'::738,'pedestrian'::229])|evacuation_point3;map(['motorbike'::1413,'bicycle'::399,'car'::29,'pedestrian'::118])|evacuation_point4;map(['motorbike'::33,'bicycle'::9])|evacuation_point5;map(['motorbike'::95,'pedestrian'::13,'bicycle'::28,'car'::1])|
23.0,0,9840,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1614,'bicycle'::423,'pedestrian'::135,'car'::4])|evacuation_point1;map(['motorbike'::1662,'bicycle'::468,'pedestrian'::142,'car'::55])|evacuation_point2;map(['motorbike'::2607,'bicycle'::672,'pedestrian'::199,'car'::34])|evacuation_point3;map(['motorbike'::1413,'bicycle'::397,'pedestrian'::119,'car'::29])|evacuation_point4;map(['motorbike'::31,'bicycle'::9])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
24.0,0,10440,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1621,'bicycle'::431,'pedestrian'::129,'car'::4])|evacuation_point1;map(['motorbike'::1658,'bicycle'::480,'pedestrian'::151,'car'::55])|evacuation_point2;map(['motorbike'::2578,'bicycle'::646,'pedestrian'::197,'car'::34])|evacuation_point3;map(['motorbike'::1437,'pedestrian'::118,'car'::29,'bicycle'::404])|evacuation_point4;map(['motorbike'::33,'bicycle'::8])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
25.0,0,10680,1.0,0.8,0.01,0.75,evacuation_point0;map(['motorbike'::1202,'bicycle'::335,'pedestrian'::103,'car'::4])|evacuation_point1;map(['motorbike'::1900,'bicycle'::516,'car'::55,'pedestrian'::161])|evacuation_point2;map(['motorbike'::2577,'bicycle'::654,'pedestrian'::199,'car'::34])|evacuation_point3;map(['motorbike'::1615,'car'::29,'bicycle'::455,'pedestrian'::132])|evacuation_point4;map(['motorbike'::33,'bicycle'::9])|evacuation_point5;map(['motorbike'::95,'bicycle'::28,'pedestrian'::13,'car'::1])|
